pl,sb,sbcs,pct
owingch01,21,23,0.913043478
doziebr01,18,20,0.9
hamilbi02,58,66,0.878787879
davisra01,43,49,0.87755102
kiermke01,21,24,0.875
bettsmo01,26,30,0.866666667
goldspa01,32,37,0.864864865
broxtke01,23,27,0.851851852
turnetr01,33,39,0.846153846
perezhe01,34,41,0.829268293
harrijo05,19,23,0.826086957
myerswi01,28,34,0.823529412
nunezed02,27,33,0.818181818
dysonja01,30,37,0.810810811
gordode01,30,37,0.810810811
troutmi01,30,37,0.810810811
escobal02,17,21,0.80952381
gardnbr01,16,20,0.8
martile01,24,30,0.8
uptonbj01,20,25,0.8
martest01,47,59,0.796610169
lindofr01,19,24,0.791666667
herreod01,25,32,0.78125
desmoia01,21,27,0.777777778
villajo01,62,80,0.775
segurje01,33,43,0.76744186
braunry02,16,21,0.761904762
ramirjo01,22,29,0.75862069
altuvjo01,30,40,0.75
andruel01,24,32,0.75
frazito01,15,20,0.75
galvifr01,17,23,0.739130435
polangr01,17,23,0.739130435
ellsbja01,20,28,0.714285714
jankotr01,30,42,0.714285714
maybica01,15,21,0.714285714
kinslia01,14,20,0.7
pillake01,14,20,0.7
inciaen01,16,23,0.695652174
harpebr03,21,31,0.677419355
perazjo01,21,31,0.677419355
odorro01,14,21,0.666666667
smithma05,16,24,0.666666667
blackch02,17,26,0.653846154
phillbr01,14,22,0.636363636
santada01,12,21,0.571428571
hernace02,17,30,0.566666667
